moduleTitle;packLabel;sourceDocument;name;type;cost;quantity;reference;state;img;uuid;path;occurrences;modules
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Black Gown;armor;;;;active;icons/equipment/chest/robe-layered-blue.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.LKgpRBMF7VyPY8kN;actors.7.items.5;1;Symbaroum - Thistle Hold - Wrath of the Warden
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Blessed Robe;armor;;;;active;icons/equipment/back/mantle-collared-white.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.m4CZj6tDkee07103;actors.13.items.19;12;"Symbaroum - Thistle Hold - Wrath of the Warden, Symbaroum Adventure Collection, Symbaroum Core Rulebook, Symbaroum Monster Codex"
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Blessed Robe;armor;;;;other;icons/equipment/back/mantle-collared-white.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.lNkcn3NFl6WnzXmK;items.553;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Blight Hardened Flesh;armor;;;;active;icons/commodities/leather/scale-chitin-grey.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.DU2NmOPknO8sJRuv;actors.24.items.11;1;Symbaroum Core Rulebook
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Carapace Plates;armor;;;;active;icons/commodities/leather/scales-blue.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.CK3tf8IRgouOlKmY;actors.126.items.9;1;Symbaroum Monster Codex
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Chain Mail;armor;;;;active;icons/equipment/chest/breastplate-banded-steel-gold.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.8FqQRFqBJewF2sxp;actors.10.items.8;2;Symbaroum - Thistle Hold - Wrath of the Warden
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Chainmail;armor;;;;active;icons/equipment/chest/breastplate-scale-grey.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.UYuAXpR6HRx2XSCZ;actors.3.items.4;1;Symbaroum - Thistle Hold - Wrath of the Warden
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Chainmail;armor;;;;active;icons/equipment/chest/breastplate-banded-steel-gold.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.ng3ekiR4IKPZl0wk;actors.32.items.2;6;"Symbaroum Adventure Collection, Symbaroum Core Rulebook, Symbaroum Monster Codex"
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Chainmail Armor;armor;;;;active;icons/equipment/chest/breastplate-banded-steel-gold.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.Z3dffKOHr9HYFCKF;actors.62.items.5;1;Symbaroum Adventure Collection
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Chitin Shell;armor;;;;active;icons/commodities/leather/scales-blue.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.3Jt3JGuGM8LGRkPb;actors.94.items.5;1;Symbaroum Monster Codex
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Chitin Shields;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.vlADGFnmbMq5aP9W;actors.19.items.9;1;Symbaroum Adventure Collection
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Chitin Shields;armor;;;;active;icons/commodities/leather/scales-blue.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.9q7Ydy7EPgnHz3fw;actors.86.items.6;3;Symbaroum Monster Codex
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Clothes;armor;;;;active;icons/equipment/chest/shirt-simple-tattered-grey.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.zXLPfFqroNarNseM;actors.43.items.14;1;Symbaroum - Thistle Hold - Wrath of the Warden
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Concealed Armor;armor;50 thaler;;;other;icons/equipment/chest/breastplate-layered-leather-brown-silver.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.0PZpcbG1hH5hacJc;items.24;1;Symbaroum Core Rulebook
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Concealed Armor;armor;50 thaler;;;active;icons/equipment/chest/breastplate-layered-leather-brown-silver.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.FN5CS2C7PtkyHw7W;actors.34.items.11;1;Symbaroum Monster Codex
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Crow Armor;armor;;;;active;icons/equipment/chest/breastplate-metal-scaled-grey.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.qd5SD2IkyRa3mNGj;actors.31.items.2;7;"Symbaroum Adventure Collection, Symbaroum Core Rulebook, Symbaroum Game Master's Guide"
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Crow Armor;armor;;;;other;icons/equipment/chest/breastplate-metal-scaled-grey.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.26CGMmKfcUmlbkZb;items.554;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Daemon Skin;armor;;;;active;icons/commodities/leather/scales-blue.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.wDGq6usuqOHgjTGL;actors.41.items.4;3;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Double Chainmail;armor;125 thaler;;;other;icons/commodities/metal/mail-chain-steel.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.YcYlav4kyKIgNGTk;items.25;1;Symbaroum Core Rulebook
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Double Chainmail;armor;125 thaler;;;active;icons/commodities/metal/mail-chain-steel.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.QZdmLwFScDZl0ZIg;actors.31.items.10;2;Symbaroum Monster Codex
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Elk Hide;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.aJZmPmgJe2ePQPlO;actors.22.items.5;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Field Armor;armor;50 thaler;;;other;icons/equipment/chest/breastplate-banded-steel-gold.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.xTpnzN4htCCyKFm6;items.26;1;Symbaroum Core Rulebook
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Field Armor;armor;50 thaler;;;active;icons/equipment/chest/breastplate-banded-steel-gold.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.sa8RdAHA4xZVspA6;actors.20.items.14;1;Symbaroum Monster Codex
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Field Armor of the Pansars;armor;250 thaler;;;other;icons/equipment/chest/breastplate-banded-steel-grey.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.zszmKV3Acr65Qe2u;items.27;1;Symbaroum Core Rulebook
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Field Armor of the Pansars;armor;250 thaler;;;active;icons/equipment/chest/breastplate-banded-steel-grey.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.yXvdxCkjUllUJO7N;actors.30.items.8;1;Symbaroum Monster Codex
Symbaroum Game Master's Guide;Symbaroum Game Master's Guide;Symbaroum Game Masters Guide;Fortified  Chainmail;armor;125 thaler;;;active;icons/commodities/metal/mail-chain-steel.webp;Compendium.symbaroum-gmg.symbaroum-gmg.OL9I61n5MySBi3vD;actors.1.items.4;1;Symbaroum Game Master's Guide
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Fortified Chainmail;armor;;;;active;icons/equipment/chest/breastplate-banded-steel-gold.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.HYceM9vAEfi7yXDp;actors.14.items.7;3;"Symbaroum Adventure Collection, Symbaroum Core Rulebook"
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Frozen Skin;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.kKZEcLaJH2TvpiHb;actors.129.items.5;1;Symbaroum Monster Codex
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Full Plate;armor;;;;active;icons/equipment/chest/breastplate-banded-steel-grey.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.KuOzGcD6wl8Nmy6A;actors.4.items.7;5;"Symbaroum - Thistle Hold - Wrath of the Warden, Symbaroum Core Rulebook, Symbaroum Monster Codex"
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Full Plate;armor;;;;other;icons/equipment/chest/breastplate-banded-steel-grey.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.jMcFpMdDlIwHfE94;actors.22.items.7;3;"Symbaroum - Thistle Hold - Wrath of the Warden, Symbaroum Core Rulebook"
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Full Plate with a rune covered  breast plate;armor;;;;active;icons/equipment/chest/breastplate-banded-steel-grey.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.YOkHYJ641pHaG6kD;actors.12.items.1;1;Symbaroum Adventure Collection
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Glowing Heavy Chainmail;armor;;;;active;icons/equipment/chest/breastplate-banded-steel-gold.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.2zUxqO4ZSE1l84jE;actors.39.items.4;1;Symbaroum Adventure Collection
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;"Glowing, Oozing, Full Plate";armor;;;;active;icons/equipment/chest/breastplate-banded-steel-grey.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.vSATFkZAjOtzaxeD;actors.21.items.4;1;Symbaroum Adventure Collection
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Hard Shell;armor;;;;active;icons/commodities/leather/scales-blue.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.8zgSvZQ1JhRn3ZTv;actors.60.items.6;1;Symbaroum Monster Codex
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Hardened Leather;armor;;;;active;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.JNSjfTMFH86LCHA4;actors.63.items.6;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Heavy Armor;armor;;;;other;icons/equipment/chest/breastplate-cuirass-steel-grey.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.KdWVhjZDak32ZsQ0;items.556;1;Symbaroum Core Rulebook
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Hide;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.RyIard1Kf88eTwyW;actors.61.items.6;1;Symbaroum Monster Codex
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Hide  (in beast form);armor;;;;other;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.JVpFXrHMX9rbxtDn;actors.41.items.11;1;Symbaroum Monster Codex
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Lacquered Silk Cuirass;armor;;;;active;icons/equipment/chest/coat-collared-studded-red.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.6PoackXnmv5QAIwR;actors.28.items.8;5;"Symbaroum - Thistle Hold - Wrath of the Warden, Symbaroum Adventure Collection, Symbaroum Core Rulebook"
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Lacquered Silk Cuirass;armor;;;;other;icons/equipment/chest/coat-collared-studded-red.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.kfJjeT3tNirIDSmP;items.557;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Laminated Armor;armor;25 thaler;;;other;icons/equipment/chest/breastplate-collared-steel-green.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.qwhX7JJft6niaa74;items.28;1;Symbaroum Core Rulebook
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Laminated Armor;armor;;;;active;icons/equipment/chest/breastplate-collared-steel-green.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.1Tj4fEpA0o6JcUnv;actors.76.items.6;1;Symbaroum Monster Codex
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Lather Armor;armor;;;;active;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.dgta7Gjeigg81Hki;actors.13.items.3;1;Symbaroum Adventure Collection
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Leather;armor;;;;active;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.u28VfKerjtTzgVy2;actors.28.items.0;7;"Symbaroum Adventure Collection, Symbaroum Core Rulebook, Symbaroum Game Master's Guide, Symbaroum Monster Codex"
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Leather Apron;armor;;;;active;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.3SSjGu7GfA2X7kii;actors.8.items.10;4;"Symbaroum Core Rulebook, Symbaroum Monster Codex"
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Leather Armor;armor;;;;active;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.WwK32drBibi7siCF;actors.8.items.4;18;"Symbaroum - Thistle Hold - Wrath of the Warden, Symbaroum Adventure Collection, Symbaroum Core Rulebook, Symbaroum Monster Codex"
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Leather Cuirass;armor;;;;active;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.e9rT7gZ6K3Ck0Yqs;actors.58.items.0;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Leather Gown;armor;;;;active;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.qIB9DaIS0wxMYGnA;actors.62.items.4;1;Symbaroum Core Rulebook
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Leather Harness;armor;;;;active;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.W3Cc1ogQ19z1v6g0;actors.3.items.4;1;Symbaroum Adventure Collection
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Leather Jacket;armor;;;;active;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.CGHIyEXMpLJz1o4D;actors.13.items.6;1;Symbaroum Monster Codex
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Leathery hide;armor;;;;active;icons/commodities/leather/scales-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.JN8vB12FGiCarAto;actors.46.items.11;1;Symbaroum - Thistle Hold - Wrath of the Warden
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Leathery Hide;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.a5sY4nJQjVjObPbd;actors.104.items.1;2;Symbaroum Monster Codex
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Leathery Skin;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.qCXbqjKHTeqbHioh;actors.46.items.9;5;Symbaroum Monster Codex
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Light Armor;armor;;;;other;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.12llevJNsUV7PhNf;items.558;1;Symbaroum Core Rulebook
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Lizard Scales;armor;;;;active;icons/commodities/leather/scales-blue.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.wBjJkn7iFSc8bGHZ;actors.39.items.4;2;"Symbaroum - Thistle Hold - Wrath of the Warden, Symbaroum Monster Codex"
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Marlit Skin;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.ccknV0zeZekIC3Nh;actors.75.items.3;1;Symbaroum Monster Codex
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Mastercrafted Order Cloak;armor;;;;active;icons/equipment/back/mantle-collared-blue.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.awdrBA3mkARHZ2We;actors.9.items.10;2;Symbaroum Monster Codex
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Mastercrafted Order Robes;armor;;;;active;icons/equipment/back/mantle-collared-blue.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.it5lw1hzgNRKueJd;actors.35.items.21;1;Symbaroum Monster Codex
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Medium Armor;armor;;;;other;icons/equipment/chest/breastplate-banded-steel-gold.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.PtYYeGSxq6GqhG5f;items.559;1;Symbaroum Core Rulebook
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Mummified Skin;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.Ww6EeVnJdLUjA7TC;actors.2.items.17;3;"Symbaroum - Thistle Hold - Wrath of the Warden, Symbaroum Monster Codex"
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Order Cloak;armor;;;;active;icons/equipment/back/mantle-collared-blue.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.bqWXB909XZ4lseUp;actors.21.items.8;9;"Symbaroum - Thistle Hold - Wrath of the Warden, Symbaroum Adventure Collection, Symbaroum Monster Codex"
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Order Cloak;armor;;;;other;icons/equipment/back/mantle-collared-blue.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.xv8hdPHdp7nWj9s9;items.560;1;Symbaroum Core Rulebook
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Protective Amulet;armor;;;;other;icons/equipment/neck/amulet-round-carved-stone-green.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.ZO8s0Svy5tdkUwv7;actors.25.items.20;1;Symbaroum - Thistle Hold - Wrath of the Warden
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Robust Feathers;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.tWsvUPePzli0ICjU;actors.135.items.5;1;Symbaroum Monster Codex
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Robust Hide;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.eAiD68jcAE53dSgH;actors.102.items.5;3;Symbaroum Monster Codex
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Rough bark-like skin;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.qheQCgF2Yij9fST7;actors.8.items.12;1;Symbaroum Adventure Collection
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Rough Hide;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.u9oSu1VOSHpj88V2;actors.6.items.6;1;Symbaroum - Thistle Hold - Wrath of the Warden
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Rough Skin;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.MXTUAFW4IN1O1s4m;actors.134.items.8;1;Symbaroum Monster Codex
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Scale Armor;armor;;;;active;icons/commodities/leather/scales-blue.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.WDfJKvR0CVqfa12h;actors.62.items.6;1;Symbaroum Monster Codex
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Scalemail;armor;;;;active;icons/equipment/chest/breastplate-scale-grey.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.z7G3RiS1utkJ6Ewy;actors.1.items.6;9;"Symbaroum Adventure Collection, Symbaroum Core Rulebook, Symbaroum Monster Codex"
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Scalemail;armor;;;;other;icons/equipment/chest/breastplate-scale-grey.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.MNegBF00uvuNoZW7;items.561;1;Symbaroum Core Rulebook
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Scales;armor;;;;active;icons/commodities/leather/scales-brown.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.D2Zm2tGrJnkY1hyS;actors.43.items.10;1;Symbaroum Adventure Collection
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Scales;armor;;;;active;icons/commodities/leather/scales-white.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.m8ZyGk4tGHW7PoYw;actors.29.items.6;1;Symbaroum Core Rulebook
Symbaroum Game Master's Guide;Symbaroum Game Master's Guide;Symbaroum Game Masters Guide;Scales;armor;;;;active;icons/commodities/leather/scales-blue.webp;Compendium.symbaroum-gmg.symbaroum-gmg.2prCW6pmsaPWIchA;actors.5.items.17;3;"Symbaroum Game Master's Guide, Symbaroum Monster Codex"
