moduleTitle;packLabel;sourceDocument;name;type;cost;quantity;reference;state;img;uuid;path
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Leather Armor;armor;;;;active;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.toH5O87r13LxV95A;actors.31.items.6
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Leather Armor;armor;;;;active;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.rusbPhRw5WaymsAp;actors.34.items.11
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Leather Armor;armor;;;;active;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.IQBT3G7y5AIwYXHd;actors.35.items.3
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Leather Armor;armor;;;;active;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.WvzAm9Sgi3gnp47g;actors.37.items.8
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Leather Armor;armor;;;;active;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.Dn1ByaemYukVL6Dd;actors.38.items.7
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Leathery hide;armor;;;;active;icons/commodities/leather/scales-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.JN8vB12FGiCarAto;actors.46.items.11
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Lizard Scales;armor;;;;active;icons/commodities/leather/scales-blue.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.wBjJkn7iFSc8bGHZ;actors.39.items.4
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Mummified Skin;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.Ww6EeVnJdLUjA7TC;actors.2.items.17
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Mummified Skin;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.rIBLbzPwjOW1wELe;actors.50.items.9
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Order Cloak;armor;;;;active;icons/equipment/back/mantle-collared-blue.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.bqWXB909XZ4lseUp;actors.21.items.8
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Order Cloak;armor;;;;active;icons/equipment/back/mantle-collared-blue.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.qbhvCMcQGQKrFpYL;actors.25.items.17
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Order Cloak;armor;;;;active;icons/equipment/back/mantle-collared-blue.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.Y7bb3EXlkk74nmkR;actors.41.items.12
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Protective Amulet;armor;;;;other;icons/equipment/neck/amulet-round-carved-stone-green.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.ZO8s0Svy5tdkUwv7;actors.25.items.20
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Rough Hide;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.u9oSu1VOSHpj88V2;actors.6.items.6
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Tough Skin;armor;;;;active;icons/commodities/leather/scale-chitin-grey.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.O3Ae5RAJmjhBkwZO;actors.0.items.11
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Witch Gown;armor;;;;active;icons/equipment/chest/robe-layered-blue.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.u1Nfgvfc0DEPXzoR;actors.42.items.13
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Witch Gown;armor;;;;active;icons/equipment/chest/robe-layered-blue.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.g96cl5Jav9SqGnSA;actors.47.items.10
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Wolf Skin;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.4mkox9aaCZMauiN2;actors.23.items.6
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Woven Silk;armor;;;;active;icons/equipment/chest/coat-collared-red-gold.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.ASVRpoy8dmoJHabN;actors.16.items.8
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Woven Silk;armor;;;;active;icons/equipment/chest/coat-collared-red-gold.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.PscEkp9WmdFvO1qh;actors.27.items.8
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Woven Silk;armor;;;;active;icons/equipment/chest/coat-collared-red-gold.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.s9Vj6L7nzYWzCj3u;actors.44.items.8
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Aloéna's Amulet;equipment;;1;;other;icons/equipment/neck/amulet-round-silver-teal.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.VGSmfknANNm3SYth;items.1
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Chewable resin;equipment;;1;;other;icons/commodities/materials/bowl-liquid-red.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.RqYxBsBU7t8xBQro;actors.18.items.1
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Choking Spores;equipment;2 thaler;1;;other;icons/magic/nature/plant-undersea-seaweed-glow-green.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.jdAOyUr3BBHc8wj6;actors.38.items.9
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Drone Dew;equipment;4 thaler;1;;other;icons/consumables/potions/potion-tube-corked-bat-gold-red.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.iGKtbTcBho8S1DYB;items.12
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Drone Spores;equipment;5 thaler;1;;other;icons/consumables/potions/potion-tube-corked-bat-gold-red.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.zScXDj5B1C0HCaKf;items.0
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Eamon's Bell;equipment;;1;;other;icons/tools/instruments/bell-gold.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.sL5XH1SWTnQtskHJ;items.2
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Elixir of Life;equipment;6 thaler;2;;other;icons/consumables/potions/potion-tube-corked-glowing-red.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.ZNZ7pSB3dLbAaWHd;actors.13.items.21
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Elixir of Life;equipment;6 thaler;2;;other;icons/consumables/potions/potion-tube-corked-glowing-red.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.rfF62ELdAab8oold;actors.27.items.12
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Garrotes;equipment;;1;;other;icons/sundries/survival/leather-strap-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.pckvsWIvtt5yScX0;actors.38.items.11
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Ghost Candle;equipment;2 thaler;3;;other;icons/sundries/lights/candle-unlit-red.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.oFQEvKCYVBvJFkzP;actors.27.items.10
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Herbal Cure;equipment;1 thaler;4;;other;icons/tools/laboratory/bowl-powder-purple.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.jNVDSWxpUgQQxxqf;actors.13.items.20
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Herbal Cure;equipment;1 thaler;5;;other;icons/tools/laboratory/bowl-powder-purple.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.IOM7ZRLoMpJ3Mfai;actors.27.items.11
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Herbal Cure;equipment;1 thaler;2;;other;icons/tools/laboratory/bowl-powder-purple.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.lBIIxDdbY8gkZ1bW;actors.34.items.12
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Moderate Poison;equipment;4 thaler;4;;other;icons/consumables/potions/potion-bottle-skull-label-poison-teal.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.WZFoZvitInerwirH;actors.38.items.8
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Multicolored Robes;equipment;1–5 shillings;1;;active;icons/equipment/chest/robe-layered-white.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.kzidOjsh8Mm8bGBO;actors.16.items.10
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Note Book;equipment;;1;;other;icons/sundries/books/book-symbol-link-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.lF4K8HrSGWRzlK9E;actors.21.items.11
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Okran's Ring;equipment;;1;;other;icons/equipment/finger/ring-band-engraved-spirals-gold.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.DYV7rbusu0Y7cFZU;items.3
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Peatro's Flask;equipment;;1;;other;icons/consumables/potions/round-cork-leaf-green.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.JkojeBKTp22Qyxov;items.4
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;"Ritual Codex  (Exchange Shadow, Desecrating Rite, Possess)";equipment;;1;;other;icons/sundries/books/book-black-grey.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.6kef5OvrGaibjKi0;actors.41.items.13
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Ritual Codex for The Exaltation Ritual;equipment;500 thaler;1;;other;icons/sundries/books/book-symbol-triangle-silver-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.CjL4etBOMzeInUbO;actors.42.items.14
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Ritual Codex for The Exaltation Ritual;equipment;500 thaler;1;;other;icons/sundries/books/book-symbol-triangle-silver-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.zWxgLPk1HSHdG4vQ;actors.47.items.11
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Rough Bark Mask;equipment;5–10 ortegs;1;;active;icons/equipment/head/mask-carved-wood-white.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.Ml6sTckRLchmIk85;actors.16.items.9
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Runefala Roots;equipment;;8;;other;icons/consumables/plants/thorned-stem-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.HmW24cB64hXfCIlw;actors.45.items.10
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Shadow Tint;equipment;3 thaler (Black market only);1;;other;icons/tools/laboratory/bowl-liquid-black.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.TyMBUQQrO5MeuXQj;items.15
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Slave collar;equipment;;1;;active;icons/equipment/finger/ring-bone-spiked-blue.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.bWi9JMOBkeht0E2V;actors.9.items.3
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Spirit Friend;equipment;12 thaler;1;;other;icons/consumables/potions/potion-bottle-corked-white.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.DzqRuhB10kh2o77c;items.13
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Storm Arrows;equipment;1 thaler;10;;other;icons/weapons/ammunition/arrows-war-white.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.nRumcFtmlmKVISEg;actors.45.items.9
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Strong Antidote;equipment;3 thaler;2;;other;icons/consumables/potions/potion-tube-corked-bubbling-green.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.j3kK4EwIBOq3wESC;actors.13.items.22
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Suicide Ampoule;equipment;;1;;other;icons/consumables/potions/flask-ornate-skull-green.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.sp6MFaInMycimMPF;actors.38.items.10
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Sun Symbol;equipment;;1;;other;icons/magic/light/explosion-star-glow-blue-purple.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.pcvp9bKVT7zb2GhQ;actors.13.items.8
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Sun Symbol;equipment;;1;;other;icons/magic/light/explosion-star-glow-blue-purple.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.8RABCW6YHAlJoS30;actors.19.items.14
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Sun Symbol;equipment;;1;;other;icons/magic/light/explosion-star-glow-blue-purple.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.v4MnkqkorkODMvZs;actors.20.items.7
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Templar Symbol;equipment;;1;;other;icons/magic/light/explosion-star-glow-blue-purple.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.2WBHR8nM5Xf6n4MP;actors.10.items.9
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Templar Symbol;equipment;;1;;other;icons/magic/light/explosion-star-glow-blue-purple.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.7IMmlaqahPTObxoA;actors.22.items.10
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;The Eye;equipment;;1;;other;icons/equipment/finger/ring-eye-purple-yellow.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.icFlvWky8A1vQ3qK;actors.25.items.18
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;The Lightbringer;equipment;;1;;other;icons/sundries/books/book-tooled-eye-gold-red.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.lw78ilzU4dgFIDxB;actors.10.items.10
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;The Lightbringer;equipment;;1;;other;icons/sundries/books/book-tooled-eye-gold-red.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.CtZfYuLi47zskXkZ;actors.19.items.15
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;The Lightbringer;equipment;;1;;other;icons/sundries/books/book-tooled-eye-gold-red.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.hwMK35uVO7uzolMA;actors.22.items.9
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;The Soul Stone;equipment;100 thaler;1;;other;icons/commodities/stone/engraved-symbol-water-grey.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.dXBs3mwgKHwp2V8v;actors.25.items.19
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;The Soul Stone;equipment;100 thaler;1;;other;icons/commodities/stone/engraved-symbol-water-grey.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.VtpDUpincJMQlyuB;actors.43.items.12
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Water of Dusk;equipment;;3;;other;icons/consumables/potions/bottle-conical-corked-tied-blue.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.kYe0FWvS2AINhmwF;actors.19.items.13
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Water of Dusk;equipment;;1;;other;icons/consumables/potions/bottle-conical-corked-tied-blue.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.ZIjseCjEtqNLOvXa;items.16
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Weak Poison;equipment;2 thaler;2;;active;icons/consumables/potions/bottle-conical-corked-labeled-skull-poison-green.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.G6iFcSnCpPYLSzLl;actors.8.items.6
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Wild Chew;equipment;1 thaler;1;;other;icons/commodities/materials/bowl-liquid-red.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.kAqXBYp2ZhXHw8X8;items.14
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Wraith Dust;equipment;2 thaler;2;;other;icons/magic/unholy/strike-body-life-soul-purple.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.QUStUosxivBoYbi0;actors.27.items.9
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;"Bastard Sword, one hand grip";weapon;;1;1handed;active;icons/weapons/swords/sword-guard-brass-worn.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.BYT2bbxRPlCx6sSN;actors.24.items.6
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;"Bastard Sword, one hand grip";weapon;;1;1handed;active;icons/weapons/swords/sword-guard-brass-worn.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.Ob6rtwRov3DHkCxA;actors.37.items.9
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;"Bastard Sword, two-handed grip";weapon;;1;heavy;active;icons/weapons/swords/sword-guard-brass-worn.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.Surw6qTjF4fhYZO5;actors.4.items.6
